#  plate  mjd fiber
5136 55836 366
5136 55836 362
5140 55836 676
5140 55836 796
5136 55836 210
5140 55836 788
5140 55836 830
5136 55836 164
5136 55836 123
5136 55836 94
5136 55836 86
5137 55833 558
5137 55833 566
5140 55836 956
5137 55833 594
5140 55836 990
5140 55836 998
5137 55833 640
5137 55833 644
5137 55833 774
5137 55833 806
5129 55864 242
5129 55864 202
5137 55833 882
5137 55833 886
5137 55833 936
5130 55835 576
5137 55833 923
5137 55833 966
5137 55833 984
5130 55835 736
5130 55835 768
5130 55835 814
5130 55835 816
5130 55835 850
5130 55835 854
5130 55835 858
5130 55835 900
5130 55835 859
5130 55835 860
5130 55835 934
5130 55835 936
5130 55835 972
5123 55841 537
5123 55841 532
5123 55841 620
5130 55835 974
5123 55841 618
5123 55841 398
5130 55835 996
5123 55841 390
5123 55841 396
5130 55835 18
5130 55835 12
5123 55841 354
5123 55841 352
5123 55841 316
5123 55841 276
5123 55841 194
5123 55841 196
5123 55841 190
5123 55841 146
5123 55841 110
5123 55841 108
5123 55841 104
5119 55836 488
5123 55841 72
5123 55841 28
5123 55841 25
5123 55841 10
5119 55836 422
5119 55836 432
5119 55836 428
5119 55836 414
5119 55836 390
5119 55836 419
5119 55836 382
5119 55836 342
5119 55836 346
5119 55836 302
5119 55836 264
5119 55836 230
5119 55836 145
5119 55836 108
5119 55836 112
5119 55836 106
5119 55836 64
5119 55836 22
5132 55858 428
5132 55858 352
5132 55858 660
5132 55858 318
5139 55866 270
5139 55866 236
5139 55866 200
5139 55866 186
5139 55866 146
5139 55866 150
5139 55866 106
5139 55866 112
5139 55866 68
5136 55836 484
5139 55866 66
5136 55836 462
5136 55836 454
5136 55836 340
5140 55836 716
5136 55836 300
5140 55836 706
5140 55836 708
5136 55836 254
5136 55836 256
5136 55836 220
5140 55836 829
5136 55836 216
5136 55836 218
5140 55836 792
5136 55836 180
5140 55836 910
5136 55836 52
5129 55864 408
5129 55864 410
5137 55833 632
5137 55833 622
5137 55833 674
5137 55833 720
5129 55864 324
5129 55864 330
5129 55864 335
5129 55864 248
5129 55864 260
5129 55864 212
5137 55833 867
5129 55864 90
5137 55833 944
5130 55835 640
5130 55835 639
5130 55835 682
5130 55835 712
5130 55835 672
5130 55835 718
5130 55835 714
5122 55841 362
5130 55835 760
5122 55841 335
5130 55835 800
5122 55841 242
5130 55835 880
5130 55835 842
5122 55841 164
5123 55841 503
5122 55841 172
5123 55841 524
5123 55841 504
5123 55841 522
5123 55841 530
5123 55841 568
5130 55835 970
5130 55835 962
5123 55841 605
5130 55835 984
5123 55841 612
5123 55841 694
5123 55841 686
5123 55841 688
5123 55841 770
5123 55841 730
5123 55841 774
5123 55841 810
5123 55841 812
5123 55841 850
5123 55841 891
5123 55841 854
5123 55841 847
5123 55841 882
5123 55841 896
5123 55841 890
5123 55841 900
5123 55841 938
5119 55836 515
5123 55841 932
5123 55841 20
5119 55836 536
5119 55836 574
5123 55841 996
5119 55836 480
5119 55836 476
5119 55836 576
5119 55836 572
5119 55836 580
5119 55836 440
5119 55836 396
5119 55836 314
5119 55836 234
5119 55836 198
5119 55836 200
5119 55836 938
5119 55836 40
5119 55836 32
5119 55836 36
5119 55836 12
5132 55858 563
5124 55894 170
5132 55858 614
5132 55858 652
5132 55858 650
5132 55858 654
5139 55866 812
5139 55866 120
5136 55836 479
5139 55866 61
5136 55836 262
5136 55836 194
5136 55836 227
5136 55836 118
5136 55836 108
5136 55836 73
5129 55864 482
5136 55836 66
5129 55864 488
5136 55836 70
5129 55864 486
5129 55864 495
5129 55864 468
5129 55864 466
5136 55836 24
5129 55864 435
5129 55864 381
5137 55833 626
5129 55864 398
5137 55833 709
5137 55833 781
5137 55833 786
5137 55833 792
5129 55864 216
5137 55833 821
5137 55833 826
5137 55833 914
5129 55864 174
5129 55864 136
5129 55864 94
5129 55864 44
5129 55864 60
5130 55835 582
5129 55864 56
5130 55835 632
5122 55841 442
5129 55864 54
5130 55835 663
5130 55835 708
5130 55835 713
5130 55835 741
5130 55835 782
5122 55841 336
5130 55835 756
5122 55841 334
5130 55835 792
5130 55835 829
5122 55841 290
5130 55835 836
5122 55841 294
5122 55841 248
5130 55835 873
5122 55841 214
5122 55841 208
5122 55841 178
5123 55841 560
5123 55841 546
5123 55841 600
5122 55841 48
5123 55841 680
5123 55841 676
5123 55841 720
5123 55841 754
5123 55841 798
5123 55841 762
5123 55841 840
5118 55830 286
5118 55830 324
5119 55836 508
5118 55830 250
5118 55830 201
5123 55841 980
5119 55836 530
5123 55841 984
5119 55836 564
5119 55836 562
5119 55836 646
5119 55836 644
5119 55836 692
5119 55836 658
5119 55836 738
5119 55836 736
5119 55836 734
5119 55836 732
5119 55836 768
5119 55836 761
5119 55836 812
5119 55836 810
5119 55836 850
5119 55836 814
5119 55836 843
5119 55836 853
5119 55836 846
5119 55836 928
5119 55836 972
5119 55836 976
5119 55836 982
5119 55836 985
5124 55894 293
5124 55894 212
5124 55894 174
5132 55858 587
5132 55858 621
5132 55858 595
5132 55858 632
5124 55894 126
5124 55894 86
5139 55866 806
5139 55866 848
5136 55836 514
5139 55866 930
5136 55836 532
5136 55836 571
5139 55866 992
5139 55866 995
5136 55836 894
5136 55836 18
5136 55836 14
5129 55864 440
5136 55836 994
5136 55836 20
5129 55864 396
5129 55864 394
5129 55864 352
5129 55864 342
5129 55864 355
5129 55864 354
5129 55864 314
5129 55864 266
5129 55864 272
5129 55864 238
5129 55864 186
5129 55864 196
5129 55864 192
5129 55864 142
5129 55864 152
5129 55864 102
5122 55841 492
5122 55841 484
5122 55841 486
5129 55864 112
5122 55841 498
5122 55841 483
5122 55841 470
5129 55864 62
5129 55864 64
5129 55864 77
5129 55864 32
5122 55841 468
5129 55864 35
5122 55841 440
5122 55841 430
5130 55835 668
5129 55864 4
5122 55841 388
5129 55864 6
5129 55864 10
5130 55835 666
5130 55835 664
5122 55841 384
5122 55841 346
5130 55835 752
5122 55841 344
5122 55841 350
5130 55835 750
5130 55835 790
5122 55841 352
5130 55835 746
5122 55841 262
5122 55841 300
5130 55835 832
5130 55835 822
5122 55841 258
5122 55841 266
5122 55841 223
5122 55841 180
5122 55841 136
5123 55841 543
5122 55841 54
5123 55841 622
5123 55841 584
5122 55841 29
5122 55841 55
5123 55841 674
5123 55841 718
5123 55841 712
5118 55830 452
5123 55841 710
5123 55841 752
5123 55841 784
5123 55841 783
5118 55830 411
5123 55841 836
5118 55830 334
5118 55830 290
5118 55830 252
5123 55841 946
5118 55830 242
5123 55841 944
5118 55830 220
5123 55841 942
5118 55830 202
5118 55830 203
5118 55830 174
5119 55836 554
5119 55836 558
5119 55836 594
5118 55830 94
5119 55836 596
5119 55836 592
5118 55830 50
5119 55836 666
5106 55833 414
5119 55836 672
5106 55833 362
5106 55833 376
5119 55836 756
5106 55833 371
5106 55833 282
5119 55836 798
5106 55833 208
5119 55836 914
5119 55836 962
5119 55836 956
5119 55836 990
5124 55894 350
5124 55894 348
